table_name,column_name,total_rows,non_null_rows,null_rows,missing_percent
dataset_validation,pearson_r,43,0,43,100.0
legacy_calculated_sld,frequency_hz,68,0,68,100.0
legacy_calculated_sld,sld_neutron_imag,68,0,68,100.0
legacy_calculated_sld,notes,68,0,68,100.0
legacy_calculated_slds,reference_id,46,0,46,100.0
legacy_calculated_slds,xray_sld_imag,46,0,46,100.0
legacy_calculated_slds,neutron_sld_imag,46,0,46,100.0
legacy_dielectric,energy_ev,21,0,21,100.0
legacy_dielectrics,reference_id,9,0,9,100.0
legacy_references_db,bibtex,34,0,34,100.0
physical_properties,measurement_regime,167,0,167,100.0
physical_properties,phase,167,0,167,100.0
rheology,shear_rate_s_inv,7,0,7,100.0
sources,authors,41,0,41,100.0
sources,journal,41,0,41,100.0
sources,year,41,0,41,100.0
sources,technique,41,0,41,100.0
sources,uncertainty,41,0,41,100.0
spectral_validation,pearson_r,12,0,12,100.0
physical_properties,density_g_cm3,167,23,144,86.23
legacy_dielectric,wavelength_nm,21,3,18,85.71
physical_properties,dielectric_constant,167,30,137,82.04
physical_properties,temperature_c,167,30,137,82.04
physical_properties,frequency_hz,167,30,137,82.04
legacy_optical_nk,k,2819,650,2169,76.94
optical_dispersion,k,2819,650,2169,76.94
legacy_dielectric,dielectric_imag,21,6,15,71.43
legacy_pubchem_data,XLogP,17,5,12,70.59
legacy_dielectrics,imag_permittivity,9,3,6,66.67
legacy_lab_measurements_needed,wavelength_range,6,2,4,66.67
spectral_validation,overlap_wl_min,12,4,8,66.67
spectral_validation,overlap_wl_max,12,4,8,66.67
spectral_validation,rmse,12,4,8,66.67
spectral_validation,mae,12,4,8,66.67
spectral_validation,max_deviation,12,4,8,66.67
spectral_validation,classification,12,4,8,66.67
legacy_pubchem_data,SMILES,17,7,10,58.82
legacy_dielectric,reference_id,21,9,12,57.14
legacy_pubchem_data,HBondDonors,17,8,9,52.94
legacy_pubchem_data,HBondAcceptors,17,8,9,52.94
legacy_pubchem_data,RotatableBonds,17,8,9,52.94
legacy_pubchem_data,TPSA,17,8,9,52.94
legacy_materials,pubchem_cid,23,11,12,52.17
materials,pubchem_cid,23,11,12,52.17
sources,doi,41,22,19,46.34
legacy_viscoelasticity,reference_id,11,6,5,45.45
legacy_optical_nk,temperature_C,2819,1569,1250,44.34
optical_dispersion,temperature_c,2819,1569,1250,44.34
sources,url,41,24,17,41.46
legacy_calculated_sld,reference_id,68,40,28,41.18
legacy_viscoelasticity,viscosity_mpa_s,11,7,4,36.36
legacy_references_db,doi,34,22,12,35.29
chemical_descriptors,morgan_fp,23,15,8,34.78
legacy_materials,smiles,23,15,8,34.78
legacy_lab_measurements_needed,frequency_range,6,4,2,33.33
physical_properties,xray_sld,167,114,53,31.74
physical_properties,neutron_sld,167,114,53,31.74
physical_properties,energy_ev,167,114,53,31.74
materials,inchikey,23,16,7,30.43
materials,cas_number,23,16,7,30.43
physical_properties,wavelength_nm,167,117,50,29.94
legacy_references_db,url,34,24,10,29.41
legacy_materials,notes,23,17,6,26.09
chemical_descriptors,logp,23,19,4,17.39
materials,smiles,23,19,4,17.39
sources,title,41,34,7,17.07
property_statistics,min_val,107,91,16,14.95
property_statistics,max_val,107,91,16,14.95
property_statistics,mean_val,107,91,16,14.95
property_statistics,median_val,107,91,16,14.95
property_statistics,std_val,107,91,16,14.95
property_statistics,iqr_val,107,91,16,14.95
property_statistics,mad_val,107,91,16,14.95
chemical_descriptors,aromatic_rings,23,20,3,13.04
property_statistics,material_count,107,97,10,9.35
legacy_viscoelasticity,loss_modulus_pa,11,10,1,9.09
mechanical_properties,loss_modulus,11,10,1,9.09
legacy_optical_nk,source_ref,2819,2614,205,7.27
optical_dispersion,dataset_label,2819,2614,205,7.27
chemical_descriptors,exact_mass,23,22,1,4.35
chemical_descriptors,tpsa,23,22,1,4.35
legacy_optical_nk,reference_id,2819,2813,6,0.21
chemical_descriptors,material_id,23,23,0,0.0
chemical_descriptors,heavy_atom_count,23,23,0,0.0
chemical_descriptors,rotatable_bonds,23,23,0,0.0
chemical_descriptors,hbond_donors,23,23,0,0.0
chemical_descriptors,hbond_acceptors,23,23,0,0.0
chemical_descriptors,descriptor_json,23,23,0,0.0
consensus_properties,material_id,122,122,0,0.0
consensus_properties,property_name,122,122,0,0.0
consensus_properties,consensus_value,122,122,0,0.0
consensus_properties,std_dev,122,122,0,0.0
consensus_properties,num_sources,122,122,0,0.0
consensus_properties,confidence_score,122,122,0,0.0
consensus_properties,classification,122,122,0,0.0
dataset_validation,validation_id,43,43,0,0.0
dataset_validation,material_id,43,43,0,0.0
dataset_validation,property_name,43,43,0,0.0
dataset_validation,dataset_a,43,43,0,0.0
dataset_validation,dataset_b,43,43,0,0.0
dataset_validation,rmse,43,43,0,0.0
dataset_validation,mean_relative_error,43,43,0,0.0
dataset_validation,classification,43,43,0,0.0
dataset_validation,notes,43,43,0,0.0
descriptor_failures,failure_id,23,23,0,0.0
descriptor_failures,material_id,23,23,0,0.0
descriptor_failures,material_name,23,23,0,0.0
descriptor_failures,smiles_available,23,23,0,0.0
descriptor_failures,attempted_rdkit,23,23,0,0.0
descriptor_failures,attempted_pubchem,23,23,0,0.0
descriptor_failures,attempted_legacy,23,23,0,0.0
descriptor_failures,partial_fill,23,23,0,0.0
descriptor_failures,missing_fields,23,23,0,0.0
descriptor_failures,reason,23,23,0,0.0
descriptor_failures,created_at,23,23,0,0.0
legacy_calculated_sld,id,68,68,0,0.0
legacy_calculated_sld,material_id,68,68,0,0.0
legacy_calculated_sld,energy_ev,68,68,0,0.0
legacy_calculated_sld,wavelength_nm,68,68,0,0.0
legacy_calculated_sld,sld_xray_real,68,68,0,0.0
legacy_calculated_sld,sld_xray_imag,68,68,0,0.0
legacy_calculated_sld,sld_neutron_real,68,68,0,0.0
legacy_calculated_sld,calculation_method,68,68,0,0.0
legacy_calculated_slds,id,46,46,0,0.0
legacy_calculated_slds,material_id,46,46,0,0.0
legacy_calculated_slds,energy_ev,46,46,0,0.0
legacy_calculated_slds,wavelength_nm,46,46,0,0.0
legacy_calculated_slds,xray_sld_real,46,46,0,0.0
legacy_calculated_slds,neutron_sld_real,46,46,0,0.0
legacy_chemical_descriptors,id,252,252,0,0.0
legacy_chemical_descriptors,material_id,252,252,0,0.0
legacy_chemical_descriptors,descriptor_name,252,252,0,0.0
legacy_chemical_descriptors,value,252,252,0,0.0
legacy_chemical_descriptors,source_library,252,252,0,0.0
legacy_dielectric,id,21,21,0,0.0
legacy_dielectric,material_id,21,21,0,0.0
legacy_dielectric,frequency_hz,21,21,0,0.0
legacy_dielectric,dielectric_real,21,21,0,0.0
legacy_dielectric,temperature_C,21,21,0,0.0
legacy_dielectric,notes,21,21,0,0.0
legacy_dielectric,measurement_regime,21,21,0,0.0
legacy_dielectrics,id,9,9,0,0.0
legacy_dielectrics,material_id,9,9,0,0.0
legacy_dielectrics,frequency_hz,9,9,0,0.0
legacy_dielectrics,temperature_C,9,9,0,0.0
legacy_dielectrics,real_permittivity,9,9,0,0.0
legacy_dielectrics,measurement_regime,9,9,0,0.0
legacy_lab_measurements_needed,id,6,6,0,0.0
legacy_lab_measurements_needed,material_id,6,6,0,0.0
legacy_lab_measurements_needed,measurement_type,6,6,0,0.0
legacy_lab_measurements_needed,instrument,6,6,0,0.0
legacy_lab_measurements_needed,parameter,6,6,0,0.0
legacy_lab_measurements_needed,priority,6,6,0,0.0
legacy_lab_measurements_needed,reason,6,6,0,0.0
legacy_lab_measurements_needed,protocol_notes,6,6,0,0.0
legacy_lab_measurements_needed,status,6,6,0,0.0
legacy_materials,id,23,23,0,0.0
legacy_materials,name,23,23,0,0.0
legacy_materials,formula,23,23,0,0.0
legacy_materials,molecular_weight,23,23,0,0.0
legacy_materials,material_class,23,23,0,0.0
legacy_materials,density_g_cm3,23,23,0,0.0
legacy_optical_nk,id,2819,2819,0,0.0
legacy_optical_nk,material_id,2819,2819,0,0.0
legacy_optical_nk,wavelength_nm,2819,2819,0,0.0
legacy_optical_nk,n,2819,2819,0,0.0
legacy_pubchem_data,material_name,17,17,0,0.0
legacy_pubchem_data,molecular_formula,17,17,0,0.0
legacy_pubchem_data,MW,17,17,0,0.0
legacy_references_db,id,34,34,0,0.0
legacy_references_db,citation_text,34,34,0,0.0
legacy_viscoelasticity,id,11,11,0,0.0
legacy_viscoelasticity,material_id,11,11,0,0.0
legacy_viscoelasticity,frequency_hz,11,11,0,0.0
legacy_viscoelasticity,temperature_C,11,11,0,0.0
legacy_viscoelasticity,storage_modulus_pa,11,11,0,0.0
material_synonyms,synonym_id,17,17,0,0.0
material_synonyms,material_id,17,17,0,0.0
material_synonyms,synonym,17,17,0,0.0
materials,material_id,23,23,0,0.0
materials,name,23,23,0,0.0
materials,formula,23,23,0,0.0
materials,molecular_weight,23,23,0,0.0
mechanical_properties,record_id,11,11,0,0.0
mechanical_properties,material_id,11,11,0,0.0
mechanical_properties,storage_modulus,11,11,0,0.0
mechanical_properties,temperature_c,11,11,0,0.0
mechanical_properties,frequency_hz,11,11,0,0.0
mechanical_properties,dataset_label,11,11,0,0.0
mechanical_properties,raw_record_table,11,11,0,0.0
mechanical_properties,raw_record_id,11,11,0,0.0
mechanical_properties,source_id,11,11,0,0.0
optical_dispersion,record_id,2819,2819,0,0.0
optical_dispersion,material_id,2819,2819,0,0.0
optical_dispersion,wavelength_nm,2819,2819,0,0.0
optical_dispersion,n,2819,2819,0,0.0
optical_dispersion,raw_record_table,2819,2819,0,0.0
optical_dispersion,raw_record_id,2819,2819,0,0.0
optical_dispersion,source_id,2819,2819,0,0.0
physical_properties,record_id,167,167,0,0.0
physical_properties,material_id,167,167,0,0.0
physical_properties,dataset_label,167,167,0,0.0
physical_properties,raw_record_table,167,167,0,0.0
physical_properties,raw_record_id,167,167,0,0.0
physical_properties,source_id,167,167,0,0.0
property_statistics,stat_id,107,107,0,0.0
property_statistics,table_name,107,107,0,0.0
property_statistics,table_type,107,107,0,0.0
property_statistics,column_name,107,107,0,0.0
property_statistics,units,107,107,0,0.0
property_statistics,total_rows,107,107,0,0.0
property_statistics,count,107,107,0,0.0
property_statistics,missing_count,107,107,0,0.0
property_statistics,missing_pct,107,107,0,0.0
rheology,record_id,7,7,0,0.0
rheology,material_id,7,7,0,0.0
rheology,viscosity_pas,7,7,0,0.0
rheology,temperature_c,7,7,0,0.0
rheology,context_flag,7,7,0,0.0
rheology,dataset_label,7,7,0,0.0
rheology,raw_record_table,7,7,0,0.0
rheology,raw_record_id,7,7,0,0.0
rheology,source_id,7,7,0,0.0
sources,source_id,41,41,0,0.0
sources,notes,41,41,0,0.0
spectral_anomalies,anomaly_id,16,16,0,0.0
spectral_anomalies,material_id,16,16,0,0.0
spectral_anomalies,dataset_label,16,16,0,0.0
spectral_anomalies,property,16,16,0,0.0
spectral_anomalies,anomaly_type,16,16,0,0.0
spectral_anomalies,severity,16,16,0,0.0
spectral_anomalies,details,16,16,0,0.0
spectral_validation,sv_id,12,12,0,0.0
spectral_validation,material_id,12,12,0,0.0
spectral_validation,property,12,12,0,0.0
spectral_validation,dataset_a,12,12,0,0.0
spectral_validation,dataset_b,12,12,0,0.0
spectral_validation,n_overlap_points,12,12,0,0.0
spectral_validation,notes,12,12,0,0.0
